0,10
1,100
2,1000
3,10002
4,10006
5,10008
6,1001
7,10010
8,10013
9,100133941
10,10015
11,10018
12,10019
13,1002
14,10020
15,10021
16,10025
17,1003
18,10036
19,10038
20,10040
21,10046
22,10049
23,100506658
24,100506742
25,100507436
26,10051
27,10052
28,100528032
29,10055
30,10057
31,10058
32,10059
33,10060
34,10062
35,10063
36,1007
37,1008
38,10082
39,10084
40,10087
41,10090
42,10097
43,1010
44,10102
45,10105
46,10109
47,10111
48,10112
49,1012
50,10125
51,1013
52,10131
53,10133
54,10135
55,10140
56,10142
57,10144
58,10148
59,10152
60,10154
61,10157
62,1016
63,10160
64,10161
65,1017
66,10184
67,10188
68,10189
69,1019
70,10197
71,102
72,1020
73,10203
74,10204
75,10207
76,1021
77,10215
78,1022
79,10228
80,10232
81,10236
82,10239
83,10242
84,10253
85,10257
86,1026
87,10261
88,10265
89,10266
90,10269
91,1027
92,10274
93,1028
94,10280
95,10288
96,1029
97,10293
98,10295
99,10297
100,103
101,1030
102,10308
103,1031
104,10317
105,10318
106,10319
107,1032
108,10320
109,10321
110,10324
111,10327
112,10333
113,10335
114,10342
115,10344
116,10347
117,1036
118,10365
119,10370
120,10371
121,10376
122,10381
123,10392
124,10395
125,10397
126,10398
127,10399
128,104
129,10401
130,10403
131,10411
132,10413
133,10417
134,10418
135,10434
136,10436
137,10437
138,10451
139,10452
140,10454
141,10457
142,10460
143,10461
144,10462
145,10468
146,10476
147,10479
148,10481
149,10483
150,10484
151,10487
152,10491
153,10498
154,10499
155,1050
156,1051
157,10512
158,10516
159,1052
160,10528
161,1053
162,10533
163,10538
164,10542
165,10544
166,10549
167,10550
168,10555
169,10557
170,10562
171,10564
172,10565
173,10568
174,10574
175,10576
176,10577
177,1058
178,10584
179,10587
180,10588
181,10589
182,10592
183,10594
184,10599
185,10600
186,10610
187,10611
188,10613
189,10617
190,10618
191,1062
192,10625
193,10628
194,1063
195,10631
196,10634
197,10636
198,10643
199,10644
200,10653
201,10658
202,10659
203,1066
204,10661
205,10666
206,10667
207,10672
208,10678
209,10683
210,10693
211,10694
212,10699
213,107
214,1071
215,10714
216,10717
217,1072
218,10723
219,10733
220,10735
221,10747
222,1075
223,10752
224,10758
225,10766
226,10771
227,10772
228,10775
229,10797
230,108
231,1080
232,10801
233,10803
234,10804
235,10806
236,10808
237,10809
238,1081
239,10814
